Bin,Correlation_loth,Correlation_markhvida,Correlation_DuNing,Correlation_vitor,Correlation_markov
136.0,0.0015986157257130648,0.08178804053279869,0.10009853959207247,0.03461292853321498,4.0291239149239697e-07
137.0,0.0015315509474952023,0.08073740448695055,0.09858594424853755,0.03409927906389094,3.625590543261355e-07
138.0,0.001467299660300657,0.0797007056421998,0.097096346027436,0.03359405860985506,3.262528271937707e-07
139.0,0.0014057438324288633,0.07867775138500867,0.09562939266397484,0.033097099647447385,2.935872261769005e-07
140.0,0.0013467703839291625,0.0776683518958225,0.09418473733906137,0.03260823901367137,2.641966571675764e-07
141.0,0.0012902709788517324,0.07667232010635379,0.09276203859413255,0.03212731775911838,2.3775229578137774e-07
142.0,0.0012361418262132008,0.07568947165755889,0.09136096024734423,0.03165418100684515,2.1395838315279694e-07
143.0,0.0011842834893159657,0.07471962485828725,0.08998117131108951,0.031188677816937467,1.9254889555291577e-07
144.0,0.001134600703069645,0.07376260064459819,0.08862234591082994,0.0307306610565007,1.7328455003197133e-07
145.0,0.0010870021989746108,0.07281822253972992,0.08728416320521487,0.030279987274830073,1.5595011211905027e-07
146.0,0.0010414005374502096,0.07188631661471057,0.08596630730746828,0.029836516583535644,1.403519750518755e-07
147.0,0.0009977119472009415,0.0709667114496039,0.08466846720802343,0.029400112541387042,1.263159831010807e-07
148.0,0.0009558561713168682,0.07005923809537283,0.08339033669838314,0.02897064204368288,1.13685474331031e-07
149.0,0.000915756319836558,0.06916373003635568,0.08213161429618715,0.02854797521593045,1.0231952063508822e-07
150.0,0.0008773387284923267,0.06828002315334208,0.08089200317146598,0.02813198531165489,9.209134512587551e-08
