RSN,EQID,magnitude,Rjb,Rrup,Ztor,Rx,dip,Z1,rup_width,Z2pt5,D_hyp,Vs30,rake,mechanism,Station_latitude,Station_longitude,database
643,113,5.99,23.39999962,27.64,14.5,2.51,30,3.700000048,7.1994615,0.0305,14.6,1222.52,150,3,34.114,-118.38,NGA-W2
644,113,5.99,34.09999847,37.05,14.5,-34.1,30,120,7.1994615,2.66,14.6,230,150,3,33.754,-118.2,NGA-W2
645,113,5.99,19.79999924,24.54,14.5,-19.8,30,1180,7.1994615,3.68,14.6,344.72,150,3,33.881,-118.176,NGA-W2
646,113,5.99,24.61000061,28.56,14.5,-24.58,30,980,7.1994615,3.68,14.6,302.73,150,3,33.84,-118.194,NGA-W2
647,113,5.99,30.39999962,33.68,14.5,-30.4,30,1080,7.1994615,4.58,14.6,282,150,3,33.778,-118.133,NGA-W2
648,113,5.99,19.28000069,26.04,14.5,18.1,30,80,7.1994615,0.38,14.6,411.55,150,3,34.238,-118.254,NGA-W2
649,113,5.99,14.17000008,20.28,14.5,-12.16,30,840,7.1994615,3.14,14.6,338.27,150,3,33.921,-117.973,NGA-W2
650,113,5.99,10.23999977,17.75,14.5,0.23,30,280,7.1994615,2.4,14.6,339.52,150,3,34.026,-117.918,NGA-W2
651,113,5.99,69.58999634,71.75,14.5,63.14,30,40,7.1994615,0.24,14.6,425.34,150,3,34.674,-118.43,NGA-W2
652,113,5.99,22.39999962,26.68,14.5,-22.4,30,1080,7.1994615,6.18,14.6,267.35,150,3,33.846,-118.099,NGA-W2
653,113,5.99,65.31999969,67.62,14.5,68.97,30,60,7.1994615,0.26,14.6,339.14,150,3,34.688,-118.156,NGA-W2
654,113,5.99,26.30999947,30.04,14.5,-20.74,30,1080,7.1994615,3.18,14.6,311.86,150,3,33.897,-118.346,NGA-W2
655,113,5.99,56.47999954,59.13,14.5,57.98,30,40,7.1994615,0.22,14.6,375.22,150,3,34.6,-118.241,NGA-W2
656,113,5.99,56.97000122,59.6,14.5,58.37,30,60,7.1994615,0.24,14.6,327.44,150,3,34.604,-118.244,NGA-W2
657,113,5.99,46.43000031,48.64,14.5,-9.08,30,40,7.1994615,0.48,14.6,578.11,150,3,34.045,-118.638,NGA-W2
658,113,5.99,61.54000092,63.23,14.5,-15.1,30,60,7.1994615,0.22,14.6,349.54,150,3,34.013,-118.8,NGA-W2
659,113,5.99,60.34999847,62.07,14.5,-13.7,30,60,7.1994615,0.22,14.6,436.53,150,3,34.024,-118.788,NGA-W2
661,113,5.99,32.36000061,36.79,14.5,37.52,30,40,7.1994615,0.18,14.6,569.84,150,3,34.39,-118.08,NGA-W2
662,113,5.99,72.62000275,74.69,14.5,13.84,30,840,7.1994615,4.44,14.6,341.58,150,3,34.288,-118.881,NGA-W2
663,113,5.99,14.5,22.73,14.5,19.69,30,40,7.1994615,0.28,14.6,680.37,150,3,34.224,-118.057,NGA-W2
664,113,5.99,28.37000084,33.11,14.5,10.78,30,980,7.1994615,3.78,14.6,326.47,150,3,34.194,-118.412,NGA-W2
665,113,5.99,49.18000031,52.2,14.5,30.06,30,840,7.1994615,3.14,14.6,269.14,150,3,34.387,-118.533,NGA-W2
666,113,5.99,55.93000031,58.61,14.5,29.12,30,780,7.1994615,2.38,14.6,285.93,150,3,34.391,-118.622,NGA-W2
667,113,5.99,38.04000092,41.69,14.5,10.79,30,1000,7.1994615,4.6,14.6,280.86,150,3,34.209,-118.517,NGA-W2
668,113,5.99,14.36999989,20.42,14.5,-14.37,30,900,7.1994615,3.2,14.6,279.46,150,3,33.915,-118.07,NGA-W2
669,113,5.99,17.64999962,22.84,14.5,-9.14,30,820,7.1994615,4.42,14.6,415.69,150,3,33.9354,-117.884,NGA-W2
670,113,5.99,38.70000076,41.32,14.5,-8.11,30,800,7.1994615,1.5,14.6,191.06,150,3,34.042,-118.554,NGA-W2
671,113,5.99,31.59000015,36.12,14.5,22.55,30,920,7.1994615,4.02,14.6,508.08,150,3,34.296,-118.375,NGA-W2
672,113,5.99,31.79999924,36.29,14.5,16.8,30,940,7.1994615,4.54,14.6,323.76,150,3,34.25,-118.42,NGA-W2
673,113,5.99,32.13000107,36.55,14.5,13.38,30,800,7.1994615,4.4,14.6,318.16,150,3,34.222,-118.442,NGA-W2
674,113,5.99,4.300000191,17.3,14.5,9.48,30,80,7.1994615,1.1,14.6,341.14,150,3,34.14,-118.12,NGA-W2
675,113,5.99,4.179999828,17.24,14.5,9.36,30,80,7.1994615,1.1,14.6,415.13,150,3,34.139,-118.121,NGA-W2
676,113,5.99,4.300000191,17.3,14.5,9.48,30,80,7.1994615,1.1,14.6,341.14,150,3,34.14,-118.12,NGA-W2
677,113,5.99,4.300000191,17.3,14.5,9.48,30,80,7.1994615,1.1,14.6,341.14,150,3,34.14,-118.12,NGA-W2
678,113,5.99,4.300000191,17.3,14.5,9.48,30,80,7.1994615,1.1,14.6,341.14,150,3,34.14,-118.12,NGA-W2
679,113,5.99,4.300000191,17.3,14.5,9.48,30,80,7.1994615,1.1,14.6,341.14,150,3,34.14,-118.12,NGA-W2
680,113,5.99,6.78000021,18.12,14.5,9.66,30,5.699999809,7.1994615,0.3,14.6,969.07,150,3,34.149,-118.171,NGA-W2
681,113,5.99,4.300000191,17.3,14.5,9.48,30,80,7.1994615,1.1,14.6,341.14,150,3,34.14,-118.12,NGA-W2
682,113,5.99,4.300000191,17.3,14.5,9.48,30,80,7.1994615,1.1,14.6,341.14,150,3,34.14,-118.12,NGA-W2
683,113,5.99,8.029999733,19.17,14.5,13.22,30,80,7.1994615,1.06,14.6,397.27,150,3,34.168,-118.078,NGA-W2
684,113,5.99,29.42000008,32.8,14.5,-15.19,30,780,7.1994615,3.38,14.6,345.72,150,3,33.96,-118.432,NGA-W2
685,113,5.99,25.11000061,29.65,14.5,6.28,30,60,7.1994615,0.3,14.6,384.44,150,3,34.056,-117.748,NGA-W2
686,113,5.99,40.95999908,44.54,14.5,14.38,30,60,7.1994615,0.28,14.6,390.18,150,3,34.104,-117.574,NGA-W2
687,113,5.99,39.70000076,42.26,14.5,-37.78,30,60,7.1994615,0.32,14.6,508.83,150,3,33.74,-118.335,NGA-W2
688,113,5.99,54.58000183,56.48,14.5,-0.25,30,60,7.1994615,0.24,14.6,389.95,150,3,33.951,-117.446,NGA-W2
689,113,5.99,81.73999786,83.59,14.5,82.49,30,80,7.1994615,0.3,14.6,275.12,150,3,34.827,-118.265,NGA-W2
690,113,5.99,0,15.2,14.5,4.54,30,680,7.1994615,2.08,14.6,401.37,150,3,34.091,-118.093,NGA-W2
691,113,5.99,1.570000052,15.94,14.5,6.58,30,840,7.1994615,1.64,14.6,379.43,150,3,34.115,-118.13,NGA-W2
692,113,5.99,11.47000027,18.49,14.5,-11.47,30,1100,7.1994615,3.3,14.6,339.06,150,3,33.944,-118.087,NGA-W2
693,113,5.99,32.79999924,35.86,14.5,-11.09,30,780,7.1994615,3.18,14.6,385.87,150,3,34.005,-118.485,NGA-W2
694,113,5.99,26.90999985,31.06,14.5,5.52,30,860,7.1994615,2.66,14.6,400.44,150,3,34.146,-118.412,NGA-W2
695,113,5.99,30.32999992,34.99,14.5,13.6,30,900,7.1994615,4.5,14.6,320.93,150,3,34.221,-118.421,NGA-W2
696,113,5.99,26.70999908,31.93,14.5,16,30,840,7.1994615,1.54,14.6,393.67,150,3,34.235,-118.366,NGA-W2
697,113,5.99,24.81999969,30.37,14.5,20.72,30,60,7.1994615,0.28,14.6,402.16,150,3,34.269,-118.303,NGA-W2
698,113,5.99,38.54999924,42.34,14.5,24.76,30,920,7.1994615,4.52,14.6,440.54,150,3,34.326,-118.444,NGA-W2
699,113,5.99,36.63999939,40.61,14.5,22.67,30,740,7.1994615,4.54,14.6,348.87,150,3,34.306,-118.437,NGA-W2
